Franchise,No_of_Movies,Domestic_Box_Office,Infl_Adj_Dom_Box_Office,Worldwide_Box_Office,First_Year,Last_Year,No_of_Years
Eating Out,2,192284,271324,192284,2005,2006,1.0
Evangelion,3,241437,264569,66296028,2009,2012,3.0
Seasons Quartet,1,198791,221628,198791,2014,2014,
Snabba Cash,2,188870,216153,10212403,2012,2014,2.0
Malevolence,3,150421,210832,370506,2004,2018,14.0
Bølgen,2,183639,193072,5786712,2015,2018,3.0
Appurushido,2,129135,183521,141928,2005,2008,3.0
Somm,2,153620,172133,153620,2013,2016,3.0
On the Run,2,103569,151928,303715,2004,2004,
Munde U.K. De,1,135000,150525,135000,2014,2014,
V/H/S,3,124934,142371,2007143,2012,2014,2.0
Fukrey,2,124221,139192,16225986,2013,2017,4.0
Cowgirls n' Angels,2,119782,137078,119782,2012,2014,2.0
Another Gay Movie,1,104828,133006,104828,2008,2008,
Infernal Affairs,3,89594,131430,89594,2004,2007,3.0
America the Beautiful,3,88539,110850,88539,2008,2015,7.0
I Spit on Your Grave,3,93861,108336,1503604,2010,2015,5.0
Evil Bong,1,91260,104838,91260,2011,2011,
Detective K,1,104012,104012,18708399,2018,2018,
Dod sno,2,79359,93141,2226637,2009,2014,5.0
Feast,3,56131,78064,690872,2006,2009,3.0
Hak Se Wui,1,55758,73827,55758,2007,2007,
Three Mothers,1,54947,69710,54947,2008,2008,
Tiger & Bunny,2,61562,68644,61562,2014,2019,5.0
San Francisco Opera Cinemacasts 2007,4,49088,62276,49088,2008,2008,
Outrage,2,48623,55653,15279572,2011,2012,1.0
[REC],4,38203,43965,49376081,2007,2015,8.0
The Inbetweeners,2,35955,41141,144051320,2012,2014,2.0
Stake Land,2,33245,38189,714234,2011,2017,6.0
Klovn,2,33700,38034,7027221,2012,2015,3.0
Girls (China),2,37115,37115,10281835,2014,2018,4.0
Gasland,2,30846,35611,339505,2010,2014,4.0
ABC's of Death,2,29003,32449,42307,2013,2014,1.0
As Mil e Uma Noites,3,23160,24761,54451,2015,2015,
Django,2,19391,22137,19391,1966,2020,54.0
St. Trinian's,2,15000,18220,29830239,2009,2009,
The Wedding Party,2,11140,11140,73115,2017,2017,
"Tomorrow, When the War Began",1,4936,5648,13404936,2012,2012,
Donald Strachey,2,4269,5402,4269,2008,2008,
Nuke 'Em High,1,4790,5338,4790,2014,2014,
Contracted,2,3328,3726,287928,2013,2015,2.0
Hayride,1,2571,2769,2571,2015,2015,
Barbie,32,0,0,5130193,2002,2020,18.0
Air Buddies,9,0,0,0,2006,2013,7.0
Boonie Bears,8,0,0,373650832,2015,2019,4.0
Tinker Bell,6,0,0,175997380,2008,2014,6.0
Monster High,6,0,0,0,2012,2017,5.0
Strawberry Shortcake,5,0,0,0,2006,2010,4.0
Doraemon,5,0,0,203578370,2007,2017,10.0
Mickey Mouse,5,0,0,0,2001,2008,7.0
Sharknado,5,0,0,0,2013,2016,3.0
Futurama,4,0,0,0,2007,2009,2.0
Sister Street Fighter,4,0,0,0,1974,1976,2.0
Desu Noto,4,0,0,110130306,2008,2016,8.0
RiffTrax Live,4,0,0,0,2013,2014,1.0
Justice League,4,0,0,0,2015,2020,5.0
Belle et Sebastien,3,0,0,50001801,2013,2018,5.0
Pororo,3,0,0,8847201,2015,2017,2.0
Rogue Warfare,3,0,0,0,2019,2020,1.0
Bad Ass,3,0,0,0,2012,2015,3.0
Fack ju Göhte,3,0,0,269786977,2013,2017,4.0
Argento’s Animal Trilogy,3,0,0,0,1970,1972,2.0
Shopkins,3,0,0,195210,2016,2018,2.0
Crayon Shin Chan,3,0,0,23536978,2006,2016,10.0
Ivan Tsarevich i Seryy Volk,3,0,0,42039975,2011,2019,8.0
Basket Case,3,0,0,0,1982,1991,9.0
Nativity,3,0,0,11492347,2010,2014,4.0
Thomas and Friends,3,0,0,3649249,2012,2019,7.0
Descendants,3,0,0,0,2015,2019,4.0
Smetto Quando Voglio,3,0,0,6510407,2016,2017,1.0
Police Story,3,0,0,0,1993,2015,22.0
Masked Rider,3,0,0,13353789,2006,2008,2.0
The Toxic Avenger,3,0,0,0,1986,1989,3.0
Sleepaway Camp,3,0,0,0,1983,2015,32.0
Santa Buddies,3,0,0,0,2009,2012,3.0
Top Cat,2,0,0,11360838,2011,2015,4.0
Always,2,0,0,69874885,2007,2012,5.0
Marfa Girl,2,0,0,0,2015,2018,3.0
Antboy,2,0,0,3286,2014,2015,1.0
What Would Jesus Do?,2,0,0,0,2010,2015,5.0
Snezhnaya koroleva,2,0,0,30196553,2012,2014,2.0
Ryanverse,2,0,0,0,2020,2020,
Rest Stop,2,0,0,0,2006,2008,2.0
Kidulthood,2,0,0,6774155,2006,2008,2.0
Gangster Ka,2,0,0,1588476,2015,2015,
Teen Beach Movie,2,0,0,0,2013,2015,2.0
Vacanze,2,0,0,8447319,2011,2015,4.0
Torrente,2,0,0,39659408,2012,2014,2.0
Maniac Cop,2,0,0,0,1990,1993,3.0
Kiseijuu,2,0,0,21992770,2015,2015,
The Woman,2,0,0,0,2011,2019,8.0
The Dead,2,0,0,0,2012,2014,2.0
Fred Figglehorn,2,0,0,0,2011,2012,1.0
Uncle Kent,2,0,0,0,2010,2016,6.0
Fireangels,2,0,0,0,2017,2022,5.0
Pumping Iron,2,0,0,0,1977,1985,8.0
MSG The Messenger of God,2,0,0,27053,2015,2015,
Wilden Kerle,2,0,0,29700000,2007,2008,1.0
The Man From Macau,2,0,0,230773224,2014,2015,1.0
I Am Vengeance,2,0,0,0,2018,2020,2.0
Crossword Mysteries,2,0,0,0,2019,2020,1.0
Wolfcop,2,0,0,0,2015,2017,2.0
Si da ming bu,2,0,0,29567632,2012,2014,2.0
When Calls the Heart,2,0,0,0,2013,2015,2.0
The Hamiltons,2,0,0,0,2006,2012,6.0
Tiny Times,2,0,0,75490000,2013,2014,1.0
Gekijo ban Naruto,2,0,0,7947209,2008,2017,9.0
Best F(r)iends,2,0,0,6007,2018,2018,
Mortadelo y Filemon,2,0,0,10892849,2008,2014,6.0
Spanish Affair,2,0,0,117302855,2014,2015,1.0
A Bread Factory,2,0,0,0,2018,2018,
Arn,2,0,0,28403029,2007,2008,1.0
Rise of the Footsoldier,2,0,0,8145,2008,2015,7.0
exhibition on screen,2,0,0,264713,2018,2020,2.0
John Clark,2,0,0,0,2020,2020,
The Pact,2,0,0,6031199,2012,2014,2.0
13 Cameras,2,0,0,0,2016,2018,2.0
When Love Happens,2,0,0,7573,2015,2016,1.0
Detective Conan,2,0,0,41032728,2007,2008,1.0
Celtic Woman,2,0,0,0,2005,2007,2.0
Paw Patrol,2,0,0,0,2015,2021,6.0
King of Prism,1,0,0,8708882,2016,2016,
Twitches,1,0,0,0,2006,2006,
10 Minute Solution,1,0,0,0,2006,2006,
Yolki,1,0,0,11499494,2018,2018,
Les Bronzés,1,0,0,83833602,2006,2006,
Mirror Mirror,1,0,0,0,2000,2000,
"Signed, Sealed, Delivered",1,0,0,0,2019,2019,
Winx Club,1,0,0,18523991,2012,2012,
Lupin III,1,0,0,6735360,2019,2019,
Qian bu gou yong,1,0,0,1870552,2008,2008,
Frankenstein,1,0,0,0,1935,1935,
Jay and Silent Bob,1,0,0,0,2014,2014,
Lalaloopsy,1,0,0,0,2012,2012,
The Librarian,1,0,0,0,2009,2009,
Carl Bessai's Relatives,1,0,0,0,2011,2011,
Action Six Pack,1,0,0,2178,2016,2016,
Les randonneurs,1,0,0,1823846,2008,2008,
Vaxxed,1,0,0,0,2020,2020,
Bhoot,1,0,0,2294815,2020,2020,
Kitaro,1,0,0,18836036,2008,2008,
American Psycho,1,0,0,0,2004,2004,
Pyaar Ka Punchnama,1,0,0,2426641,2011,2011,
Coconut the Little Dragon,1,0,0,1830285,2018,2018,
Le cœur des hommes,1,0,0,12130156,2007,2007,
azem,1,0,0,247988,2016,2016,
Ironclad,1,0,0,5297411,2011,2011,
Biggest Loser,1,0,0,0,2006,2006,
7 Zwerge,1,0,0,29900000,2006,2006,
The Christmas Chronicles,1,0,0,0,2020,2020,
Daan gyun naam Yu,1,0,0,0,2014,2014,
Dino Dana,1,0,0,0,2019,2019,
Ironiya Sudby,1,0,0,54700664,2007,2007,
Tales From Sanctuary City,1,0,0,0,2020,2020,
Greenstreet Hooligans,1,0,0,0,2015,2015,
Blind Dead,1,0,0,0,1977,1977,
Brightheart,1,0,0,0,2020,2020,
Freeway,1,0,0,0,1998,1998,
The Locator,1,0,0,0,2009,2009,
Tanguy,1,0,0,8033866,2019,2019,
Kocan Kadar Konus,1,0,0,6174554,2016,2016,
Weiner Dog,1,0,0,0,2013,2013,
Howling,1,0,0,0,1985,1985,
Against the Wild,1,0,0,0,2014,2014,
A Few Best Men,1,0,0,17224539,2012,2012,
Train to Busan,1,0,0,0,2020,2020,
Attack of the Killer Tomatoes,1,0,0,0,1978,1978,
Yokai Watch,1,0,0,53396284,2015,2015,
The Devil’s Rejects,1,0,0,116296,2019,2019,
The Munsters,1,0,0,0,1966,1966,
Maruko,1,0,0,3844017,2016,2016,
After Porn Ends,1,0,0,0,2017,2017,
Iron Sky,1,0,0,0,2018,2018,
The Walking Dead,1,0,0,0,2019,2019,
Jillian Michaels Fitness,1,0,0,0,2015,2015,
Bulletproof,1,0,0,0,2020,2020,
Troublesome Night,1,0,0,7052423,2017,2017,
Meitantei Conan,1,0,0,866604,2017,2017,
Dragons Nest,1,0,0,3858035,2016,2016,
Lighting Dindin,1,0,0,1457100,2017,2017,
Wild Geese,1,0,0,0,1985,1985,
Get Smart,1,0,0,0,2008,2008,
Pripara,1,0,0,1668644,2016,2016,
The Invoking,1,0,0,0,2014,2014,
Tom and Jerry,1,0,0,0,2015,2015,
Chicken Run,1,0,0,0,2020,2020,
Boy s tenyu,1,0,0,12426015,2007,2007,
Digimon,1,0,0,2318407,2020,2020,
